Gu,Korean,Foreigner,Senior
Total,9668465.0,242623.0,1568331.0
Jongrogu,149384.0,9612.0,28507.0
Junggu,125240.0,9395.0,24495.0
Yongsangu,230040.0,14605.0,40247.0
Seongdonggu,293556.0,6949.0,45603.0
Kwangjingu,346682.0,13427.0,50560.0
Dongdaemoongu,342837.0,14177.0,61796.0
Jungranggu,394702.0,4860.0,69447.0
Seongbukgu,437153.0,9903.0,73770.0
Gangbukgu,308055.0,3514.0,63422.0
Dobonggu,325257.0,2104.0,62059.0
Nowonggu,523037.0,3995.0,85489.0
Eunpyonggu,479835.0,4208.0,85187.0
Seodaemungu,312173.0,10779.0,54204.0
Mapogu,371890.0,9968.0,54331.0
Yangcheongu,454251.0,3530.0,65670.0
Gangseogu,580185.0,5716.0,88984.0
Gurogu,404408.0,28080.0,70198.0
Guemcheongu,231733.0,16102.0,39842.0
Youngdeungpogu,379480.0,27887.0,61688.0
Dongjakgu,391220.0,10352.0,65190.0
Kwanakgu,495060.0,14743.0,78875.0
Seoucheogu,425126.0,3899.0,60169.0
Gangnamgu,539231.0,4824.0,75096.0
Songpagu,667960.0,5966.0,93483.0
Gangdonggu,459970.0,4028.0,70019.0
